published_path,title,slug,page_type,destination,draft,archived,seo_title,seo_description,og_title,og_description,og_title_copies_seo,og_description_copies_seo,og_image_url,json_ld,page_id,collection_id
/accountex-london-2026,*FIX Accountex London 2026,accountex-london-2026,Static,REVIEW - unclassified,false,false,Accountex London 2026,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69fde4d2433201b97375e9f4,
/accountex-london-2026-meet-andy,*FIX Accountex London 2026 - Andy,accountex-london-2026-meet-andy,Static,REVIEW - unclassified,true,false,Accountex London 2026 - Andy,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a021e1e57305d2807ca0cd4_image%20(1).png,,6a0726ce73e99db9a7dda305,
/accountex-london-2026-meet-corey,*FIX Accountex London 2026 - Corey,accountex-london-2026-meet-corey,Static,REVIEW - unclassified,true,false,Accountex London 2026 - Corey,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a021e1e57305d2807ca0cd4_image%20(1).png,,6a07269421da4563d500a674,
/accountex-london-2026-meet-freddie,*FIX Accountex London 2026 - Freddie,accountex-london-2026-meet-freddie,Static,REVIEW - unclassified,true,false,Accountex London 2026 - Freddie,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a021e1e57305d2807ca0cd4_image%20(1).png,,6a0725b3b44d89082553e29d,
/accountex-london-meet-tamara,*FIX Accountex London 2026 - Tamara,accountex-london-meet-tamara,Static,REVIEW - unclassified,true,false,Accountex London 2026 - Meet Tamara,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a021e1e57305d2807ca0cd4_image%20(1).png,,6a0723ab1ef873239e64d432,
/adfin-vs-cardless,[Competitor] Adfin vs GoCardless,adfin-vs-cardless,Static,CMS item -> Competitor Comparisons,false,false,Adfin vs GoCardless | Switch for Cheaper Direct Debit & More,"Cheaper direct debit, multiple payment methods, and AI-powered credit control—see why hundreds of accounts switch to Adfin every month.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,698ddd4bf06a15ff2758b347,
/adfin-vs-chaser,[Competitor] Adfin vs Chaser,adfin-vs-chaser,Static,CMS item -> Competitor Comparisons,false,false,Adfin vs Chaser | We Never Chase Your Clients When They've Already Paid!,"Cheaper direct debit, multiple payment methods, and AI-powered credit control—see why hundreds of businesses switch to Adfin every month.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69aabfa05d9d1491b73d372e,
/adfin-vs-other-payment-providers-for-businesses,[Competitor] Adfin vs Other Payment Providers for Businesses,adfin-vs-other-payment-providers-for-businesses,Static,CMS item -> Competitor Comparisons,false,false,Adfin vs Other Payment Providers for Businesses,"Every month, hundreds of accountants switch to Adfin. Why? Cheaper direct debit, multiple payment methods, and AI-powered credit control—making getting paid one less thing to worry about.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69aeb8be9cdbbd511401db91,
/authors,Authors Template,detail_authors,CMS template,Authors,false,false,,,,,false,false,,,685d7aee31e8504950bb0d69,685d7aee31e8504950bb0d57
/avn-webinar-call,[Events] AVN webinar | Book a Call,avn-webinar-call,Static,REVIEW - unclassified,false,false,Adfin | Book a Call,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69c3aab7c078ee1ce756e1e8,
/back-to-school,Back to school,back-to-school,Static,REVIEW - unclassified,true,false,Back to school offer,"Start September strong with Adfin. Send new direct debit mandates, clear your admin list, and unlock rewards with our Back to School offer.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/68a22f4acb721ef5a9071b4e_Group%202087327333%20(2).png,,68a22f358e3ac8e899dbba04,
/blog,[Resources] Blog,blog,Static,Stays static,false,false,Adfin | Blog,"Discover expert advice on small business payments, invoicing, and cash flow management. Read Adfin’s latest insights to optimise your payment processes.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,663930e9e80b0d2d4eba2e67,
/blog-post-categories,Blog post categories Template,detail_blog-post-categories,CMS template,NOT MIGRATED - blog categories become filtered views,false,false,,,,,false,false,,,686e62d7daf9394fc96f54db,686e62d7daf9394fc96f53fb
/blog/insights,Insights,insights,Static,NOT MIGRATED - 301 to filtered /blog,false,false,Insights,"Discover expert advice on small business payments, invoicing, and cash flow management. Read Adfin’s latest insights to optimise your payment processes.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69837258d378fa0637a21ceb,
/blog/life-at-adfin,Life at Adfin,life-at-adfin,Static,NOT MIGRATED - 301 to filtered /blog,false,false,Adfin | Blog - Life at Adfin,"Discover expert advice on small business payments, invoicing, and cash flow management. Read Adfin’s latest insights to optimise your payment processes.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,686e64a8a3f62bb1ef93b330,
/blog/product-and-tips,Product & tips,product-and-tips,Static,NOT MIGRATED - 301 to filtered /blog,false,false,Adfin | Blog - Product & tips,"Discover expert advice on small business payments, invoicing, and cash flow management. Read Adfin’s latest insights to optimise your payment processes.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,686e64708c56f9da62bb9689,
/blog/success-stories,Success stories,success-stories,Static,NOT MIGRATED - 301 to filtered /blog,false,false,Adfin | Blog - Success stories,"Discover expert advice on small business payments, invoicing, and cash flow management. Read Adfin’s latest insights to optimise your payment processes.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,686e64c410be6e1a2c9d05c5,
/book-demo,[Commercial] Demo Adfin,book-demo,Static,Stays static,false,false,Demo Adfin,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69aafe0f10895ac20d129b70,
/businesses,Small businesses,businesses,Static,CMS item -> Customers,false,false,Adfin | Helping SMEs Get Paid Faster,"Credit control. Finally under control. The only platform that fully automates getting paid, from invoice to chasing to cash. Adfin works with any software and our fees are always a pleasant surprise.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,66cd7ca921721ae25a965ecc,
/careers,[Resources] Careers,careers,Static,Stays static,false,false,Adfin | Careers,"Change the way businesses manage their finances, forever. We’re looking for the best to join Adfin. Explore open roles and build with us.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,67a1939afb61e55e89efdc42,
/case-studies/gascoynes-accountancy,Gascoynes Case Study,gascoynes-accountancy,Static,CMS item -> Case Studies,false,false,"Gascoynes: turnover up 8%, debtors down 10% with Adfin","Gascoynes replaced four payment tools and manual chasing with Adfin - debtors down 10%, turnover up 8%, and cash flow freed to fund its tenth acquisition.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,Article - correct,6a33ede9927f2b6737d4bd2d,
/case-studies/helpbox-uk,Helpbox Case Study,helpbox-uk,Static,CMS item -> Case Studies,false,false,Helpbox Case Study,Helpbox tripled on-time payments and cut collection costs by 58% with Adfin. See how this accountancy firm automated chasing and consolidated 4 tools into 1.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,Article - correct,6a3c13eb120a447347b2e851,
/case-studies/jumpstart,Jumpstart Case Study,jumpstart,Static,CMS item -> Case Studies,false,false,Adfin | Jumpstart,"Jumpstart cut average days late by 73% and recovered over £50,000 in invoices that were already overdue, without adding anyone to the team.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,"Article - WRONG, holds Gascoynes content",6a6c5fc444b5a1d98f14fbd6,
/case-studies/nuvo-accountancy,Nuvo case study,nuvo-accountancy,Static,CMS item -> Case Studies,false,false,How Adfin helps Nuvo standardise payments at scale,"How the UK's fastest growing accountancy firm moved 2,500 direct debit mandates to Adfin, and what changed for its credit control team.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,"Article - WRONG, holds Gascoynes content",6a512f7e2f50ec4f7f40bf95,
/case-studies/pillow-may,Pillow May Case study,pillow-may,Static,CMS item -> Case Studies,false,false,Pillow May Case study,"How Pillow May uses Adfin to get 70% of invoices paid within 48 hours with automated, personalized reminders - 6x lower overdue rate than UK average.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,Article - correct,6a3bd086c386bb7e5a13bfdf,
/category,Categories Template,detail_category,CMS template,Audiences,false,false,,,,,false,false,,,6722df8dd74fb0bace84b9a2,6722df8dd74fb0bace84b994
/ccfa-playbook-download,[Content] CCfA Thanks for Downloading Page,ccfa-playbook-download,Static,CMS item -> Download Success,false,false,Credit Control for Accountants - Thanks for Downloading our Playbook!,"Launching a new service might sound daunting, but with Adfin handling the operational side, it's quick to set up and runs with minimal cost and overhead. ",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69e791d7815f4fad4cd339ee,
/changelog,[Resources] Changelog,changelog,Static,Stays static,false,false,Adfin | Changelog,"Live product updates, direct from our CPO.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6722e686f7fc78abf431533a,
/changelog,Changelogs Template,detail_changelog,CMS template,Changelogs,false,false,"Adfin | {{wf {&quot;path&quot;:&quot;name&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}","{{wf {&quot;path&quot;:&quot;seo-meta-description&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}",,,true,true,,,6722dcefed289f6f784e5ed8,6722dceeed289f6f784e5eb4
/compare-payment-providers,[Competitor] Adfin vs Other Payment Providers,compare-payment-providers,Static,CMS item -> Competitor Comparisons,false,false,"Adfin vs Other Payment Providers | Get Paid Faster, For Less","Every month, hundreds of accountants switch to Adfin. Why? Cheaper direct debit, multiple payment methods, and AI-powered credit control—making getting paid one less thing to worry about.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,698c8f3b745663ffd734d53d,
/comparisons,Competitor Comparisons Template,detail_comparisons,CMS template,Competitor Comparisons,false,false,,,,,false,false,,,69a16393275899f2f7e4b29c,69a16393275899f2f7e4b264
/contact-us,[Resources] Contact us,contact-us,Static,Stays static,false,false,Adfin | Have questions? Contact for support & advice,"Have a question about Adfin’s payment solutions? Contact us today for support, advice, and information on how we can simplify your business transactions.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,663931dd091b07df4bd18ed0,
/cookies-policy,[Legal] Cookies Policy,cookies-policy,Static,CMS item -> Legal,false,false,Adfin | Cookies Policy,,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,664b6bfeac9531ecd6a88fad,
/credit-control,[Product] Credit control,credit-control,Static,Stays static,false,false,Adfin | Credit control,"Chasing that adapts to every customer. Automatic query handling, late fees, and instalment plans. Adfin does the work, whilst giving you as much visibility and control as you need.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,683a20b73a5443a524f8d5b9,
/customer-stories,Customer Stories,customer-stories,Static,Stays static,false,false,Adfin | Customer Stories,"Hear how businesses across industries are reducing late payments, DSO and manual work with Adfin.",,,true,true,,,6a5129677c2d4207d05e4cfc,
/data-processing-addendum,[Legal] Data Processing Addendum,data-processing-addendum,Static,CMS item -> Legal,false,false,Adfin | Data Processing Addendum,,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,66fbd15a6e653806c9816435,
/demo-confirmed,[Commercial] Demo confirmed,demo-confirmed,Static,Stays static,false,false,Adfin - Thanks for Booking a Demo,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69a96d96c8eb3ea3acf17feb,
/developer-tooling,Developer Tooling,developer-tooling,Static,REVIEW - unclassified,true,false,Developer Tooling,"Add Adfin to any upstream system using Adfin’s APIs, SDKs, or low-code tools. Sync invoices, automate collections, and keep payment data flowing across your systems.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6840567bce2f9c2e933615f1_opengraphs.png,,68efd26f7d269540fce1a263,
/direct-debit-payments,*FIX [Product] Direct debit,direct-debit-payments,Static,Stays static,false,false,Adfin | Next-generation direct debit,"Get paid automatically, straight from your customer’s bank. Only Adfin puts you in charge of chargebacks, allows you to fallback to card if needed, and pays out daily by default. And our fees are the most competitive on the market.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,683a206e04fb7ee87a583e8b,
/domicillary-care,Domicillary Care - Adfin,domicillary-care,Static,CMS item -> Customers,false,false,Domicillary Care - Adfin,Late payments are a cashflow problem. Adfin automates all the workflows your finance team uses to get paid — reducing DSO and releasing working capital.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a35072157b83eec2343fe28,
/double-zero-thanks-for-downloading,[Content] Double Zero: Thanks for Downloading Page,double-zero-thanks-for-downloading,Static,CMS item -> Download Success,false,false,New Report: The Path to Double Zero,"Launching a new service might sound daunting, but with Adfin handling the operational side, it's quick to set up and runs with minimal cost and overhead. ",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a27011fd18e983dd1d7130c,
/double-zero-whitepaper,[Content] The Path to Double Zero | Download the Report,double-zero-whitepaper,Static,CMS item -> Downloads,false,false,The Path to Double Zero - Download the Report,Zero WIP. Zero debtors. Our new report shows UK accountancy firms how to free up cash and get paid faster. Download Double Zero free.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a26fd5f3878a801b238ffce,
/engager-users,Engager-users,engager-users,Static,REVIEW - unclassified,true,false,Adfin | Engager.app Users,"Our Accountex-specific page. Adfin is the first platform designed from the ground up for the specific demands of invoice payments. We give businesses the tools to get paid faster and at lower cost, across all the payment methods and communication channels that matter.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6840567bce2f9c2e933615f1_opengraphs.png,,673c8260286b2c99ddeeb5f2,
/event,Events Template,detail_event,CMS template,Events,false,false,"Adfin | {{wf {&quot;path&quot;:&quot;name&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}","{{wf {&quot;path&quot;:&quot;short-description&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}",,,false,false,,,6a2c254efcb47370ecfd0809,6a2c254efcb47370ecfd07e9
/events,[Resources] Events,events,Static,Stays static,false,false,Adfin | Events,"Join us at our workshops and lunch events, or see where we'll be attending if you'd like to meet up.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69944e86cb048b23ced777f2,
/faq,[Legal] FAQ,faq,Static,Stays static,false,false,Adfin | FAQ,"Find answers to common questions about Adfin's safety, payment services, fees, and business model. Learn how Adfin keeps payments secure, transparent, and reliable.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,68502ed052734a07c264f4ea,
/faqs,FAQs Template,detail_faqs,CMS template,FAQs,false,false,"Adfin | {{wf {&quot;path&quot;:&quot;name&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}","{{wf {&quot;path&quot;:&quot;name&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}",,,false,false,,,69a16383e15b4e807d2e78ab,69a16383e15b4e807d2e7896
/fineo-roundtable-book-call,[Events] Fineo Roundtable | Book a Call Copy,fineo-roundtable-book-call,Static,REVIEW - unclassified,false,false,Adfin x Fineo Roundtable | Book a Demo with Adfin,"The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. ",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69e76d1a5aabc7945c62c8f3,
/generate-invoices,*FIX [Product] Generate invoices,generate-invoices,Static,Stays static,false,false,Adfin | Generate invoices,"Create hundreds of invoices at once, from any data source, and Adfin will extract the relevant information in seconds. Use our in-built invoice tool. Connect to any software tool with Adfin Bridge (we really mean any!). With Adfin, you say goodbye to manual data entry and juggling multiple tools.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,683a01a9bacf65f70e6ae35f,
/home-old,Home (old),home-old,Static,REVIEW - looks retired,true,false,Home (old),"The only platform to automate payment collection end-to-end. Eliminate manual work, reduce late payments and accelerate cash flow.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a51093701811da5ee9afe6f,
/icb-accreditation,ICB Landing Page,icb-accreditation,Static,REVIEW - unclassified,false,false,Adfin for bookkeepers,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a0c2889ddc14b527d2ff22b,
/integration-pages,Integrations Template,detail_integration-pages,CMS template,Integrations,false,false,"Adfin | {{wf {&quot;path&quot;:&quot;name&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}","{{wf {&quot;path&quot;:&quot;short-description&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}",,,false,false,,,69a16368b55cb34e434273f9,69a16368b55cb34e434273f3
/integrations/actionstep,Actionstep,actionstep,Static,CMS item -> Integrations,true,false,Adfin | Actionstep,Cashflow on autopilot. Spend less time chasing clients to pay with automated collections. Dramatically improve cashflow. And give your clients payment experiences they actually enjoy. That’s a win-win-win.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6840567bce2f9c2e933615f1_opengraphs.png,,6856a7d44ca124d51569952b,
/integrations/engager-app,Engager.app,engager-app,Static,CMS item -> Integrations,false,false,Adfin | Engager.app,"Proposals to payments, simplified. With Adfin + Engager, your clients sign the proposal and set up their Direct Debit in one seamless step. You get paid on time, every time",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6856c79822e7bda4ba3156ab,
/integrations/freeagent,Freeagent,freeagent,Static,CMS item -> Integrations,true,false,Adfin | Freeagent,"Get your credit control under control with Adfin. One integration for cards, direct debits, open banking and chasing. Synchronised in real-time and loved by accountants.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6840567bce2f9c2e933615f1_opengraphs.png,,6856c767726b3d58df745c52,
/integrations/quickbooks,Quickbooks,quickbooks,Static,CMS item -> Integrations,false,false,Adfin | Quickbooks,"Cashflow made easy. Get your credit control under control with Adfin. One integration for cards, direct debits, open banking and chasing. Synchronised in real-time and loved by accountants, and their clients.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6856c7532369cceee6da352c,
/integrations/socket,Socket,socket,Static,CMS item -> Integrations,false,false,Adfin | Socket,Seal deals. Get paid. Improve client experience and streamline your processes by combining proposals and payments. Socket and Adfin work together seamlessly to make invoicing a doddle.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6856c7a9a135f9b50034b220,
/integrations/sodium,Sodium,sodium,Static,CMS item -> Integrations,false,false,Adfin x Sodium Integration,Seal deals. Get paid. Improve client experience and streamline your processes by combining proposals and payments. Sodium and Adfin work together seamlessly to make invoicing a doddle.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a0af78a4725e32d883bd323,
/integrations/xero,Xero,xero,Static,CMS item -> Integrations,false,false,Adfin | Xero,"Seamless credit control. Get your credit control under control with Adfin. One integration for cards, direct debits, open banking and chasing. Synchronised in real-time and loved by accountants, and their clients.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6856c7262369cceee6da2977,
/learn-about-adfin,[Content] Adfin Brief,learn-about-adfin,Static,REVIEW - unclassified,false,false,The Adfin Brief | AI Revenue Automation ,"How client-first businesses get paid. The only platform that automates getting paid end to end. Stop chasing invoices, cut your costs, and reconcile with your tools. It's time to say goodbye to being overwhelmed by finance.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69a6dd2515f1c3583bc2bfe3,
